1CF0 3E 101160    -- 13:09:45.15 --2016/11/13 周日. 
1CF0 3E 101161    -- 17:37:45.88 --2016/11/14 周一. 
1CF0 3E 101162    -- 14:03:38.05 --2016/11/22 周二. 
1CF0 3E 101163    -- 13:56:06.79 --2016/11/26 周六. 
1CF0 3E 101164    --  9:28:25.39 --2016/11/28 周一. 
1CF0 3E 101165    -- 15:20:33.24 --2016/11/30 周三. 
1CF0 3E 101166    -- 15:22:50.42 --2016/11/30 周三. 
1CF0 3E 101167    -- 10:47:29.14 --2016/12/02 周五. 
1CF0 3E 101168    -- 11:26:57.45 --2016/12/13 周二. 
1CF0 3E 101169    -- 12:16:13.69 --2017/03/22 周三. 
1CF0 3E 10116A    -- 12:27:21.88 --2017/03/22 周三. 
1CF0 3E 10116B    -- 13:44:31.60 --2017/03/22 周三. 
1CF0 3E 10116C    -- 14:00:34.68 --2017/03/22 周三. 
1CF0 3E 10116D    -- 14:05:19.70 --2017/03/22 周三. 
1CF0 3E 10116E    -- 17:00:43.94 --2018/03/01 周四. 
1CF0 3E 10116F    -- 17:03:22.68 --2018/03/01 周四. 
1CF0 3E 101170    -- 17:09:41.56 --2018/03/01 周四. 
1CF0 3E 101171    -- 17:13:11.40 --2018/03/01 周四. 
1CF0 3E 101172    -- 17:17:00.75 --2018/03/01 周四. 
1CF0 3E 101173    -- 17:19:08.05 --2018/03/01 周四. 
1CF0 3E 101174    -- 17:30:20.14 --2018/03/01 周四. 
1CF0 3E 101175    -- 17:40:51.63 --2018/03/01 周四. 
1CF0 3E 101176    --  9:51:22.31 --2018/03/19 周一. 
1CF0 3E 101177    --  9:52:24.23 --2018/03/19 周一. 
1CF0 3E 101178    --  9:56:19.23 --2018/03/19 周一. 
1CF0 3E 101179    --  9:58:23.88 --2018/03/19 周一. 
1CF0 3E 10117A    --  9:59:57.19 --2018/03/19 周一. 
1CF0 3E 10117B    -- 10:01:42.40 --2018/03/19 周一. 
1CF0 3E 10117C    -- 10:03:17.12 --2018/03/19 周一. 
1CF0 3E 10117D    -- 10:05:46.88 --2018/03/19 周一. 
1CF0 3E 10117E    -- 15:18:24.75 --2018/03/19 周一. 
1CF0 3E 10117F    -- 15:23:46.16 --2018/03/19 周一. 
1CF0 3E 101180    -- 13:43:50.32 --2018/03/22 周四. 
1CF0 3E 101181    -- 13:46:49.14 --2018/03/22 周四. 
1CF0 3E 101182    -- 13:48:57.31 --2018/03/22 周四. 
1CF0 3E 101183    -- 13:50:43.08 --2018/03/22 周四. 
1CF0 3E 101184    -- 13:53:34.34 --2018/03/22 周四. 
1CF0 3E 101185    -- 13:55:30.20 --2018/03/22 周四. 
1CF0 3E 101186    -- 13:58:02.60 --2018/03/22 周四. 
1CF0 3E 101187    -- 13:59:47.69 --2018/03/22 周四. 
1CF0 3E 101188    -- 14:02:31.42 --2018/03/22 周四. 
1CF0 3E 101189    -- 14:04:51.52 --2018/03/22 周四. 
1CF0 3E 10118A    -- 14:07:17.39 --2018/03/22 周四. 
1CF0 3E 10118B    -- 14:08:57.90 --2018/03/22 周四. 
1CF0 3E 10118C    -- 14:10:35.72 --2018/03/22 周四. 
1CF0 3E 10118D    -- 14:13:10.30 --2018/03/22 周四. 
1CF0 3E 10118E    -- 14:15:07.34 --2018/03/22 周四. 
1CF0 3E 10118F    -- 14:17:27.24 --2018/03/22 周四. 
1CF0 3E 101190    -- 14:18:57.40 --2018/03/22 周四. 
1CF0 3E 101191    -- 14:20:36.99 --2018/03/22 周四. 
1CF0 3E 101192    -- 14:22:13.94 --2018/03/22 周四. 
1CF0 3E 101193    -- 14:23:45.61 --2018/03/22 周四. 
1CF0 3E 101194    -- 14:25:38.40 --2018/03/22 周四. 
